"tick","Open Jobs","Done Jobs"
0.0,0.0,0.0
1.0,2413.0,11.0
2.0,2402.0,22.0
3.0,2391.0,33.0
4.0,2380.0,44.0
5.0,2369.0,55.0
6.0,2358.0,66.0
7.0,2347.0,77.0
8.0,2336.0,88.0
9.0,2325.0,99.0
10.0,2314.0,110.0
11.0,2303.0,121.0
12.0,2292.0,132.0
13.0,2281.0,143.0
14.0,2270.0,154.0
15.0,2259.0,165.0
16.0,2248.0,176.0
17.0,2237.0,187.0
18.0,2226.0,198.0
19.0,2215.0,209.0
20.0,2204.0,220.0
21.0,2193.0,231.0
22.0,2182.0,242.0
23.0,2171.0,253.0
24.0,2160.0,264.0
25.0,2149.0,275.0
26.0,2138.0,286.0
27.0,2127.0,297.0
28.0,2116.0,308.0
29.0,2105.0,319.0
30.0,2094.0,330.0
31.0,2083.0,341.0
32.0,2072.0,352.0
33.0,2061.0,363.0
34.0,2050.0,374.0
35.0,2039.0,385.0
36.0,2028.0,396.0
37.0,2017.0,407.0
38.0,2006.0,418.0
39.0,1995.0,429.0
40.0,1984.0,440.0
41.0,1973.0,451.0
42.0,1962.0,462.0
43.0,1951.0,473.0
44.0,1940.0,484.0
45.0,1929.0,495.0
46.0,1918.0,506.0
47.0,1907.0,517.0
48.0,1896.0,528.0
49.0,1885.0,539.0
50.0,1874.0,550.0
51.0,1863.0,561.0
52.0,1852.0,572.0
53.0,1841.0,583.0
54.0,1830.0,594.0
55.0,1819.0,605.0
56.0,1808.0,616.0
57.0,1797.0,627.0
58.0,1786.0,638.0
59.0,1775.0,649.0
60.0,1764.0,660.0
61.0,1753.0,671.0
62.0,1742.0,682.0
63.0,1731.0,693.0
64.0,1720.0,704.0
65.0,1709.0,715.0
66.0,1698.0,726.0
67.0,1687.0,737.0
68.0,1676.0,748.0
69.0,1665.0,759.0
70.0,1654.0,770.0
71.0,1643.0,781.0
72.0,1632.0,792.0
73.0,1621.0,803.0
74.0,1610.0,814.0
75.0,1599.0,825.0
76.0,1588.0,836.0
77.0,1577.0,847.0
78.0,1566.0,858.0
79.0,1555.0,869.0
80.0,1544.0,880.0
81.0,1533.0,891.0
82.0,1522.0,902.0
83.0,1511.0,913.0
84.0,1500.0,924.0
85.0,1489.0,935.0
86.0,1478.0,946.0
87.0,1467.0,957.0
88.0,1456.0,968.0
89.0,1445.0,979.0
90.0,1434.0,990.0
91.0,1423.0,1001.0
92.0,1412.0,1012.0
93.0,1401.0,1023.0
94.0,1390.0,1034.0
95.0,1379.0,1045.0
96.0,1368.0,1056.0
97.0,1357.0,1067.0
98.0,1346.0,1078.0
99.0,1335.0,1089.0
100.0,1324.0,1100.0
101.0,1313.0,1111.0
102.0,1302.0,1122.0
103.0,1291.0,1133.0
104.0,1280.0,1144.0
105.0,1269.0,1155.0
106.0,1258.0,1166.0
107.0,1247.0,1177.0
108.0,1236.0,1188.0
109.0,1225.0,1199.0
110.0,1214.0,1210.0
111.0,1203.0,1221.0
112.0,1192.0,1232.0
113.0,1181.0,1243.0
114.0,1170.0,1254.0
115.0,1159.0,1265.0
116.0,1148.0,1276.0
117.0,1137.0,1287.0
118.0,1126.0,1298.0
119.0,1115.0,1309.0
120.0,1104.0,1320.0
121.0,1093.0,1331.0
122.0,1082.0,1342.0
123.0,1071.0,1353.0
124.0,1060.0,1364.0
125.0,1049.0,1375.0
126.0,1038.0,1386.0
127.0,1027.0,1397.0
128.0,1016.0,1408.0
129.0,1005.0,1419.0
130.0,994.0,1430.0
131.0,983.0,1441.0
132.0,972.0,1452.0
133.0,961.0,1463.0
134.0,950.0,1474.0
135.0,939.0,1485.0
136.0,928.0,1496.0
137.0,917.0,1507.0
138.0,906.0,1518.0
139.0,895.0,1529.0
140.0,884.0,1540.0
141.0,873.0,1551.0
142.0,862.0,1562.0
143.0,851.0,1573.0
144.0,840.0,1584.0
145.0,829.0,1595.0
146.0,818.0,1606.0
147.0,807.0,1617.0
148.0,796.0,1628.0
149.0,785.0,1639.0
150.0,774.0,1650.0
151.0,763.0,1661.0
152.0,752.0,1672.0
153.0,741.0,1683.0
154.0,730.0,1694.0
155.0,719.0,1705.0
156.0,708.0,1716.0
157.0,697.0,1727.0
158.0,686.0,1738.0
159.0,675.0,1749.0
160.0,664.0,1760.0
161.0,653.0,1771.0
162.0,642.0,1782.0
163.0,631.0,1793.0
164.0,620.0,1804.0
165.0,609.0,1815.0
166.0,598.0,1826.0
167.0,587.0,1837.0
168.0,576.0,1848.0
169.0,565.0,1859.0
170.0,554.0,1870.0
171.0,543.0,1881.0
172.0,532.0,1892.0
173.0,521.0,1903.0
174.0,510.0,1914.0
175.0,499.0,1925.0
176.0,488.0,1936.0
177.0,477.0,1947.0
178.0,466.0,1958.0
179.0,455.0,1969.0
180.0,444.0,1980.0
181.0,433.0,1991.0
182.0,422.0,2002.0
183.0,411.0,2013.0
184.0,400.0,2024.0
185.0,389.0,2035.0
186.0,378.0,2046.0
187.0,367.0,2057.0
188.0,356.0,2068.0
189.0,345.0,2079.0
190.0,334.0,2090.0
191.0,323.0,2101.0
192.0,312.0,2112.0
193.0,301.0,2123.0
194.0,290.0,2134.0
195.0,279.0,2145.0
196.0,268.0,2156.0
197.0,257.0,2167.0
198.0,246.0,2178.0
199.0,235.0,2189.0
200.0,224.0,2200.0
201.0,213.0,2211.0
202.0,202.0,2222.0
203.0,191.0,2233.0
204.0,180.0,2244.0
205.0,169.0,2255.0
206.0,158.0,2266.0
207.0,147.0,2277.0
208.0,136.0,2288.0
209.0,125.0,2299.0
210.0,114.0,2310.0
211.0,103.0,2321.0
212.0,92.0,2332.0
213.0,81.0,2343.0
214.0,70.0,2354.0
215.0,59.0,2365.0
216.0,48.0,2376.0
217.0,37.0,2387.0
218.0,26.0,2398.0
219.0,15.0,2409.0
220.0,4.0,2420.0
221.0,0.0,2424.0
222.0,0.0,2424.0
